,_id,qc_user,run_timestamp,_cls,cartridge_pass_fail,build_completion_date,build_completion_user,pressure_line_qc,rework,rework_description,dev_ncmr,entry_date,cartridge_type,membrane_lot,center_cap_lot,anolyte_tank_leak_rate,catholyte_tank_leak_rate,notes,qc_results,latest_assay_analysis_pass_fail,latest_assay_analysis_fail_reason,membrane_gap,tank_leak_rate,pressure_line_leak_rate,size_insert_lot,pn050_319_LCLot,pre_glue_x_measurement,pre_glue_z_measurement,b_date_ts,b_date,exp_date
10,5250811634,ekta.sharma,1755622811,MauriceCartridge.MauriceFlexCartridge,Pass,{'$date': 1754909880000},hang.pham@proteinsimple.com,,False,,CAN136,{'$date': 1754899217455},5,V030010725-07-2,55,,,,"[{'analysis_timestamp': 1755512003, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'failure_type': 'Re-test', 'Fl': {}, 'run_id': 'mm0020_2025-08-18_09-01-50', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1755526411, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1755612278, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'failure_type': '', 'Fl': {}, 'run_id': 'mm0020_2025-08-19_13-00-11', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1755626687, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,1.7,PASS,PASS,,,,,1754909880000,2025-08-11 10:58:00,2026-08-31
11,1250815357,icaro.mesquita,1755523766,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755299460000},productionline@proteinsimple.com,0.0257,False,NA,NA,{'$date': 1755288750084},1,20117853,1825886,0.0198,0.0172,,"[{'analysis_timestamp': 1755514799, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1494_2025-08-18_06-29-25', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755529206, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755299460000,2025-08-15 23:11:00,2026-08-31
12,1250815362,icaro.mesquita,1755523786,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755300060000},productionline@proteinsimple.com,0.0106,False,NA,NA,{'$date': 1755289341551},1,20117853,1825886,0.0252,0.0213,,"[{'analysis_timestamp': 1755518103, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf2179_2025-08-18_09-29-46', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755532508, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755300060000,2025-08-15 23:21:00,2026-08-31
13,1250815359,icaro.mesquita,1755523828,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755299880000},productionline@proteinsimple.com,0.0252,False,NA,NA,{'$date': 1755289222906},1,20117853,1825886,0.0151,0.0143,,"[{'analysis_timestamp': 1755515722, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1045_2025-08-18_09-30-28', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755530128, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755299880000,2025-08-15 23:18:00,2026-08-31
14,1250816365,icaro.mesquita,1755523857,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755358080000},productionline@proteinsimple.com,0.0144,False,NONE,N/A,{'$date': 1755347334747},1,20117853,1653645,0.016,0.0176,,"[{'analysis_timestamp': 1755518279, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf3051_2025-08-18_06-30-57', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755532685, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755358080000,2025-08-16 15:28:00,2026-08-31
15,1250816366,poojan.patel,1755542164,MauriceCartridge.MauriceIEFCartridge,Fail,{'$date': 1755359460000},productionline@proteinsimple.com,0.0172,False,NONE,N/A,{'$date': 1755348802500},1,20117853,1653645,0.016,0.0171,Q002,"[{'analysis_timestamp': 1755518412, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': 'Re-test', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1130_2025-08-18_06-31-43', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755532820, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1755547198, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': 'Scrap', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1130_2025-08-18_11-36-04', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755561605, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Fail,Scrap,,,,,,,,1755359460000,2025-08-16 15:51:00,2026-08-31
16,1250815360,icaro.mesquita,1755523931,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755300000000},productionline@proteinsimple.com,0.0219,False,NA,NA,{'$date': 1755289254676},1,20117853,1825886,0.0221,0.0191,,"[{'analysis_timestamp': 1755517903, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1978_2025-08-18_06-32-11', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755532309, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755300000000,2025-08-15 23:20:00,2026-08-31
17,1250815358,icaro.mesquita,1755523999,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755299820000},productionline@proteinsimple.com,0.0246,False,NA,NA,{'$date': 1755289099352},1,2017853,1825886,0.0244,0.0273,,"[{'analysis_timestamp': 1755515453, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf2980_2025-08-18_06-33-19', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755529860, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755299820000,2025-08-15 23:17:00,2026-08-31
18,1250816363,icaro.mesquita,1755524035,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755357240000},productionline@proteinsimple.com,0.0247,False,NONE,N/A,{'$date': 1755346533765},1,20117853,1653645,0.0226,0.0273,,"[{'analysis_timestamp': 1755518191, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf2009_2025-08-18_06-33-55', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755532597, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755357240000,2025-08-16 15:14:00,2026-08-31
19,1250815361,icaro.mesquita,1755524043,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755300060000},productionline@proteinsimple.com,0.024,False,NA,NA,{'$date': 1755289298511},1,20117853,1825886,0.0155,0.0152,,"[{'analysis_timestamp': 1755518007, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1987_2025-08-18_06-34-03', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755532413, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755300060000,2025-08-15 23:21:00,2026-08-31
20,5250811633,ekta.sharma,1755525380,MauriceCartridge.MauriceFlexCartridge,Pass,{'$date': 1754909760000},hang.pham@proteinsimple.com,,False,,CAN136,{'$date': 1754899091642},5,V030010725-07-2,55,,,,"[{'analysis_timestamp': 1755513758, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'failure_type': '', 'Fl': {}, 'run_id': 'mm0020_2025-08-18_09-56-20', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1755528161, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,1.7,PASS,PASS,,,,,1754909760000,2025-08-11 10:56:00,2026-08-31
21,5250808629,ekta.sharma,1755619621,MauriceCartridge.MauriceFlexCartridge,Pass,{'$date': 1754691480000},productionline@proteinsimple.com,,False,,CAN136,{'$date': 1754680753878},5,V030010725-07-2,55,,,,"[{'analysis_timestamp': 1755521342, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'failure_type': 'Re-test', 'Fl': {}, 'run_id': 'mm0020_2025-08-18_10-53-07', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1755535748, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1755612534, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'failure_type': '', 'Fl': {}, 'run_id': 'mm0020_2025-08-19_12-07-01', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1755626938, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,1.7,PASS,PASS,,,,,1754691480000,2025-08-08 22:18:00,2026-08-31
22,1250816367,icaro.mesquita,1755529866,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755359580000},productionline@proteinsimple.com,0.0221,False,NONE,N/A,{'$date': 1755348858921},1,20117853,1653645,0.0198,0.0188,,"[{'analysis_timestamp': 1755521014, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf1494_2025-08-18_08-11-06', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755535450, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755359580000,2025-08-16 15:53:00,2026-08-31
23,1250816372,icaro.mesquita,1755529885,MauriceCartridge.MauriceIEFCartridge,Pass,{'$date': 1755362940000},productionline@proteinsimple.com,0.0237,False,NONE,N/A,{'$date': 1755352200863},1,20130775,1653645,0.0221,0.0181,,"[{'analysis_timestamp': 1755521986, 'analysis_user': 'ad/cator.qc', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Noise Avg_Failures': [], 'Sufficient Data': {}}, 'failure_type': '', 'Fl': {'Position (pixels) STDEV_Failures': [], 'Resolution %CV_Failures': [], 'Resolution Avg_Failures': [], 'Sufficient Data': {}}, 'run_id': 'kf2179_2025-08-18_11-11-25', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 2, 'timestamp': 1755536392, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,,,,1755362940000,2025-08-16 16:49:00,2026-08-31
